Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2019-01-01,170.38226318359375,171.11899826365158,168.27029528299337,170.43138185338032,6715543
2019-01-02,165.56893920898438,168.71233933120064,165.02866379995172,167.5826848305166,13410104
2019-01-03,163.11314392089844,167.1406198886152,162.17994918380023,166.01096546827205,9321842
2019-01-04,167.9264678955078,168.9087812672147,165.51980313260847,166.0109598184619,17650435
2019-01-07,172.24867248535156,175.04825687378752,170.13668953732372,170.13668953732372,21438351
2019-01-08,176.7672882080078,177.30756356012864,172.9853907209869,172.9853907209869,20128985
2019-01-09,179.81246948242188,180.35274484604193,177.01287031842614,178.28988072637003,17468948
2019-01-10,182.4647216796875,183.54527246043546,180.30363510710512,180.40185745786448,16961888
2019-01-11,177.11111450195312,184.42934656077648,176.22702342122983,183.25057344205885,25902974
2019-01-14,179.17396545410156,194.79275814289764,174.31151692405615,177.1111162235226,18935120
2019-01-15,182.07179260253906,182.51383062969924,178.04430171305114,180.0580471577951,13536578
2019-01-16,182.17001342773438,184.0364178441528,180.79478069051044,182.7102887848269,11874245
2019-01-17,181.62974548339844,183.98730668631651,180.1562753524171,182.71029624168338,9365756
2019-01-18,180.05804443359375,182.36647186891045,178.0934176857944,182.36647186891045,6797621
2019-01-21,178.28990173339844,181.67888033881235,177.45492925588553,181.04038255406573,6918258
2019-01-22,177.65139770507812,178.28989546738467,172.83805269084712,178.28989546738467,9775717
2019-01-23,177.06199645996094,179.46866137522625,175.3920666201185,178.48634794132911,9778926
2019-01-24,172.2977752685547,177.11112022652213,170.6278453806533,176.81642319008918,13461254
2019-01-25,170.18580627441406,175.73587130597952,168.90879578366312,172.83804960818063,12136892
2019-01-28,169.25259399414062,172.24865272343143,166.40387627247384,170.23490734873354,8167430
2019-01-29,170.52960205078125,171.80659740338305,167.8773440380555,169.3017103741164,6141180
2019-01-30,171.51193237304688,173.62390027044586,170.23492190509964,171.21723534368775,7757847
2019-01-31,177.9951934814453,180.64743678881663,172.69070686670267,172.69070686670267,22277646
2019-02-01,178.43722534179688,182.61205734390967,176.37437616939494,178.78104103165379,14931422
2019-02-04,177.06199645996094,180.4509748091234,175.0482509226891,177.7987315353838,11854351
2019-02-05,172.69068908691406,177.94605649047722,171.61013841161062,177.50401848291204,12064426
2019-02-06,175.3429412841797,176.27613601311964,168.85966687138435,172.88715779280463,10334594
2019-02-07,179.61602783203125,181.72799584219916,175.73587755129606,175.83411489596568,16152722
2019-02-08,148.0346221923828,161.68878705927577,126.71842501347926,161.68878705927577,102256857
2019-02-11,149.95013427734375,150.53952831197702,143.27041515903565,147.49435078122667,26161867
2019-02-12,149.11517333984375,151.6691791217884,147.93640028749138,150.24482772565796,14174912
2019-02-14,157.02279663085938,158.15245099957713,151.07979780358968,153.19176553255326,16348306
2019-02-15,158.7909698486328,159.42948261122814,150.44130517386827,156.9736988833562,20705576
2019-02-18,160.0188446044922,160.55911996464448,156.38428807360555,159.92062225922714,13503666
2019-02-19,160.85382080078125,163.01490730383355,158.69273429772895,161.09939915314885,14533142
2019-02-20,161.88525390625,163.75164340052748,160.8538218219753,161.54143821518736,11610728
2019-02-21,166.69859313964844,167.58268425747352,162.17996016344952,162.6711168992699,14811723
2019-02-22,171.21722412109375,172.19953749529517,164.88130585527696,166.99327361424503,13011477
2019-02-25,172.64158630371094,174.36063481598117,170.43138107364922,172.05219224679576,15554532
2019-02-26,179.41954040527344,180.20539414009784,169.4490651746219,169.94022188527296,31859427
2019-02-27,174.2133026123047,182.8085456086197,172.98541075568826,180.30364322333932,19723906
2019-02-28,174.31150817871094,178.33899907607164,173.47655078997906,176.81641032273222,18692372
